ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene,Gene.title
ILMN_2058782,3.96E-05,2.59E-09,-6.645776,10.787479,-4.0548888,572871494,IFI27,interferon alpha inducible protein 27
ILMN_1807423,0.0002534,4.36E-08,-6.007206,8.214712,-0.8206525,30795211,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3
ILMN_2329679,0.0002534,4.97E-08,-5.976825,8.094508,-0.508394,56699464,TPST2,tyrosylprotein sulfotransferase 2
ILMN_1812433,0.0006218,1.63E-07,-5.701177,7.014656,-3.0817081,970259872,HP,haptoglobin
ILMN_2409720,0.0013775,4.50E-07,-5.460013,6.087313,-1.266396,358679340,SLA2,Src like adaptor 2
ILMN_1654210,0.0021037,9.42E-07,5.282364,5.415766,1.062616,110618226,CD1C,CD1c molecule
ILMN_1759117,0.0021037,1.05E-06,-5.257123,5.321196,-1.8212694,1044635692,XK,X-linked Kx blood group
ILMN_1812163,0.0021037,1.21E-06,-5.222176,5.190625,-2.0778214,149408156,GYPE,glycophorin E (MNS blood group)
ILMN_1683093,0.0021037,1.43E-06,-5.180027,5.033711,-2.4530276,749502293,GYPB,glycophorin B (MNS blood group)
ILMN_1730032,0.0021037,1.44E-06,-5.179733,5.032617,-0.9035741,347658959,BOK,"BOK, BCL2 family apoptosis regulator"
ILMN_1804332,0.0021037,1.51E-06,-5.166883,4.984904,-0.3745841,283135239,GPR137,G protein-coupled receptor 137
ILMN_1764826,0.0028673,2.78E-06,-5.017211,4.433557,-0.5769208,531034762,TFE3,transcription factor binding to IGHM enhancer 3
ILMN_2038776,0.0028673,2.88E-06,-5.008091,4.40023,-0.6830156,349732252,TXN,thioredoxin
ILMN_1670609,0.0028673,2.98E-06,-4.999759,4.369807,-0.662476,72004264,ATOX1,antioxidant 1 copper chaperone
ILMN_1695187,0.0028673,3.00E-06,-4.997939,4.363169,-2.0701194,149408156,GYPE,glycophorin E (MNS blood group)
